Number of Learning Problems, Avg. Matched Rate, Avg. Coverage Rate
1, 0.0, 0.7575757575757576
2, 0.36, 0.7575757575757576
3, 0.52, 0.7575757575757576
4, 0.56, 0.7575757575757576
5, 0.16, 0.7575757575757576
6, 0.2, 0.7575757575757576
7, 0.28, 0.7575757575757576
8, 0.28, 0.7575757575757576
9, 0.28, 0.7575757575757576
10, 0.28, 0.7575757575757576
11, 0.48, 0.7575757575757576
12, 0.48, 0.7575757575757576
13, 0.48, 0.7575757575757576
14, 0.48, 0.7575757575757576
15, 0.48, 0.7575757575757576
16, 0.48, 0.7575757575757576
17, 0.48, 0.7575757575757576
18, 0.48, 0.7575757575757576
19, 0.52, 0.7575757575757576
20, 0.52, 0.7575757575757576
21, 0.52, 0.7575757575757576
22, 0.52, 0.7575757575757576
23, 0.52, 0.7575757575757576
24, 0.52, 0.7575757575757576
25, 0.52, 0.7575757575757576
26, 0.52, 0.7575757575757576
27, 0.52, 0.7575757575757576
28, 0.56, 0.7575757575757576
29, 0.56, 0.7575757575757576
30, 0.56, 0.7575757575757576
31, 0.56, 0.7575757575757576
32, 0.56, 0.7575757575757576
33, 0.56, 0.7575757575757576
34, 0.56, 0.7575757575757576
35, 0.56, 0.7575757575757576
36, 0.56, 0.7575757575757576
37, 0.56, 0.7575757575757576
38, 0.56, 0.7575757575757576
39, 0.56, 0.7575757575757576
40, 0.56, 0.7575757575757576
41, 0.56, 0.7575757575757576
42, 0.56, 0.7575757575757576
43, 0.56, 0.7575757575757576
44, 0.6, 0.7575757575757576
45, 0.6, 0.7575757575757576
46, 0.6, 0.7575757575757576
47, 0.6, 0.7575757575757576
48, 0.6, 0.7575757575757576
49, 0.68, 0.7575757575757576
50, 0.68, 0.7575757575757576
51, 0.68, 0.7575757575757576
52, 0.68, 0.7575757575757576
53, 0.68, 0.7575757575757576
54, 0.68, 0.7575757575757576
55, 0.72, 0.7575757575757576
56, 0.72, 0.7575757575757576
57, 0.72, 0.7575757575757576
58, 0.72, 0.7575757575757576
59, 0.72, 0.7575757575757576
60, 0.72, 0.7575757575757576
61, 0.72, 0.7575757575757576
62, 0.72, 0.7575757575757576
63, 0.72, 0.7575757575757576
64, 0.72, 0.7575757575757576
65, 0.72, 0.7575757575757576
66, 0.72, 0.7575757575757576
67, 0.72, 0.7575757575757576
68, 0.72, 0.7575757575757576
69, 0.72, 0.7575757575757576
70, 0.72, 0.7575757575757576
71, 0.72, 0.7575757575757576
72, 0.72, 0.7575757575757576
73, 0.72, 0.7575757575757576
74, 0.72, 0.7575757575757576
75, 0.72, 0.7575757575757576
76, 0.72, 0.7575757575757576
77, 0.72, 0.7575757575757576
78, 0.72, 0.7575757575757576
79, 0.72, 0.7575757575757576
80, 0.72, 0.7575757575757576
81, 0.72, 0.7575757575757576
82, 0.72, 0.7575757575757576
83, 0.72, 0.7575757575757576
84, 0.72, 0.7575757575757576
85, 0.72, 0.7575757575757576
86, 0.72, 0.7575757575757576
87, 0.72, 0.7575757575757576
88, 0.72, 0.7575757575757576
89, 0.72, 0.7575757575757576
90, 0.72, 0.7575757575757576
91, 0.72, 0.7575757575757576
92, 0.84, 0.7575757575757576
93, 0.84, 0.7575757575757576
94, 0.84, 0.7575757575757576
95, 0.84, 0.7575757575757576
96, 0.84, 0.7575757575757576
97, 0.84, 0.7575757575757576
98, 0.84, 0.7575757575757576
99, 0.84, 0.7575757575757576
100, 0.84, 0.7575757575757576
150, 0.96, 0.7575757575757576
200, 0.76, 0.7575757575757576
250, 0.96, 0.7575757575757576
300, 1.0, 0.7575757575757576
350, 1.0, 0.7575757575757576
400, 1.0, 0.7575757575757576
450, 1.0, 0.7575757575757576
500, 1.0, 0.7575757575757576
550, 1.0, 0.7575757575757576
600, 0.42000000000000004, 0.7575757575757576
650, 0.6799999999999999, 0.7575757575757576
700, 0.6799999999999999, 0.7575757575757576
750, 0.72, 0.7575757575757576
800, 0.9199999999999999, 0.7575757575757576
850, 0.8400000000000001, 0.7575757575757576
900, 0.8400000000000001, 0.7575757575757576
950, 0.8400000000000001, 0.7575757575757576
1000, 0.88, 0.7575757575757576
1050, 0.96, 0.7575757575757576
1100, 0.96, 0.7575757575757576
1150, 0.96, 0.7575757575757576
1200, 0.96, 0.7575757575757576
1250, 0.96, 0.7575757575757576
1300, 0.9199999999999999, 0.7575757575757576
1350, 0.9199999999999999, 0.7575757575757576
1400, 0.9199999999999999, 0.7575757575757576
1450, 0.9199999999999999, 0.7575757575757576
1500, 0.9199999999999999, 0.7575757575757576
1550, 0.9199999999999999, 0.7575757575757576
1600, 0.96, 0.7575757575757576
1650, 0.9199999999999999, 0.7575757575757576
1700, 0.96, 0.7575757575757576
1750, 0.96, 0.7575757575757576
1800, 0.9199999999999999, 0.7575757575757576
1850, 0.96, 0.7575757575757576
1900, 0.96, 0.7575757575757576
1950, 0.96, 0.7575757575757576
2000, 0.96, 0.7575757575757576
2050, 0.96, 0.7575757575757576
2100, 0.96, 0.7575757575757576
2150, 0.96, 0.7575757575757576
2200, 0.9199999999999999, 0.7575757575757576
2250, 0.9199999999999999, 0.7575757575757576
2300, 0.9199999999999999, 0.7575757575757576
2350, 0.96, 0.7575757575757576
2400, 0.9199999999999999, 0.7575757575757576
2450, 0.9199999999999999, 0.7575757575757576
2500, 0.9199999999999999, 0.7575757575757576
2550, 0.9199999999999999, 0.7575757575757576
2600, 0.9199999999999999, 0.7575757575757576
2650, 0.86, 0.7575757575757576
2700, 0.86, 0.7575757575757576
2750, 0.86, 0.7575757575757576
2800, 0.86, 0.7575757575757576
2850, 0.86, 0.7575757575757576
2900, 0.86, 0.7575757575757576
2950, 0.86, 0.7575757575757576
3000, 0.86, 0.7575757575757576
3050, 0.86, 0.7575757575757576
3100, 0.86, 0.7575757575757576
3150, 0.86, 0.7575757575757576
3200, 0.86, 0.7575757575757576
3250, 0.86, 0.7575757575757576
3300, 0.86, 0.7575757575757576
3350, 0.86, 0.7575757575757576
3400, 0.86, 0.7575757575757576
3450, 0.86, 0.7575757575757576
3500, 0.86, 0.7575757575757576
