Number of Learning Problems, Avg. Matched Rate, Avg. Coverage Rate
1, 0.0, 0.7575757575757576
2, 0.24, 0.7575757575757576
3, 0.08, 0.7575757575757576
4, 0.24, 0.7575757575757576
5, 0.48, 0.7575757575757576
6, 0.52, 0.7575757575757576
7, 0.44, 0.7575757575757576
8, 0.44, 0.7575757575757576
9, 0.44, 0.7575757575757576
10, 0.44, 0.7575757575757576
11, 0.44, 0.7575757575757576
12, 0.44, 0.7575757575757576
13, 0.4, 0.7575757575757576
14, 0.4, 0.7575757575757576
15, 0.4, 0.7575757575757576
16, 0.6, 0.7575757575757576
17, 0.52, 0.7575757575757576
18, 0.72, 0.7575757575757576
19, 0.72, 0.7575757575757576
20, 0.72, 0.7575757575757576
21, 0.72, 0.7575757575757576
22, 0.72, 0.7575757575757576
23, 0.72, 0.7575757575757576
24, 0.72, 0.7575757575757576
25, 0.72, 0.7575757575757576
26, 0.72, 0.7575757575757576
27, 0.72, 0.7575757575757576
28, 0.72, 0.7575757575757576
29, 0.72, 0.7575757575757576
30, 0.72, 0.7575757575757576
31, 0.72, 0.7575757575757576
32, 0.72, 0.7575757575757576
33, 0.72, 0.7575757575757576
34, 0.72, 0.7575757575757576
35, 0.72, 0.7575757575757576
36, 0.72, 0.7575757575757576
37, 0.72, 0.7575757575757576
38, 0.72, 0.7575757575757576
39, 0.72, 0.7575757575757576
40, 0.72, 0.7575757575757576
41, 0.76, 0.7575757575757576
42, 0.76, 0.7575757575757576
43, 0.76, 0.7575757575757576
44, 0.76, 0.7575757575757576
45, 0.76, 0.7575757575757576
46, 0.76, 0.7575757575757576
47, 0.76, 0.7575757575757576
48, 0.76, 0.7575757575757576
49, 0.76, 0.7575757575757576
50, 0.8, 0.7575757575757576
51, 0.8, 0.7575757575757576
52, 0.8, 0.7575757575757576
53, 0.8, 0.7575757575757576
54, 0.8, 0.7575757575757576
55, 0.8, 0.7575757575757576
56, 0.8, 0.7575757575757576
57, 0.8, 0.7575757575757576
58, 0.8, 0.7575757575757576
59, 0.8, 0.7575757575757576
60, 0.8, 0.7575757575757576
61, 0.8, 0.7575757575757576
62, 0.8, 0.7575757575757576
63, 0.8, 0.7575757575757576
64, 0.8, 0.7575757575757576
65, 0.8, 0.7575757575757576
66, 0.88, 0.7575757575757576
67, 0.88, 0.7575757575757576
68, 0.88, 0.7575757575757576
69, 0.88, 0.7575757575757576
70, 0.88, 0.7575757575757576
71, 0.88, 0.7575757575757576
72, 0.88, 0.7575757575757576
73, 0.88, 0.7575757575757576
74, 0.88, 0.7575757575757576
75, 0.88, 0.7575757575757576
76, 0.88, 0.7575757575757576
77, 0.88, 0.7575757575757576
78, 0.88, 0.7575757575757576
79, 0.88, 0.7575757575757576
80, 0.88, 0.7575757575757576
81, 0.88, 0.7575757575757576
82, 0.88, 0.7575757575757576
83, 0.88, 0.7575757575757576
84, 0.88, 0.7575757575757576
85, 0.88, 0.7575757575757576
86, 0.88, 0.7575757575757576
87, 0.88, 0.7575757575757576
88, 0.92, 0.7575757575757576
89, 0.92, 0.7575757575757576
90, 0.92, 0.7575757575757576
91, 0.92, 0.7575757575757576
92, 0.92, 0.7575757575757576
93, 0.92, 0.7575757575757576
94, 0.92, 0.7575757575757576
95, 0.92, 0.7575757575757576
96, 0.92, 0.7575757575757576
97, 0.92, 0.7575757575757576
98, 0.92, 0.7575757575757576
99, 0.92, 0.7575757575757576
100, 0.92, 0.7575757575757576
120, 1.0, 0.7575757575757576
140, 0.88, 0.7575757575757576
160, 0.96, 0.7575757575757576
180, 0.9199999999999999, 0.7575757575757576
200, 1.0, 0.7575757575757576
220, 1.0, 0.7575757575757576
240, 0.9199999999999999, 0.7575757575757576
260, 1.0, 0.7575757575757576
280, 1.0, 0.7575757575757576
300, 1.0, 0.7575757575757576
320, 1.0, 0.7575757575757576
340, 0.98, 0.7575757575757576
360, 0.96, 0.7575757575757576
380, 0.98, 0.7575757575757576
400, 0.98, 0.7575757575757576
420, 0.98, 0.7575757575757576
440, 0.98, 0.7575757575757576
460, 0.94, 0.7575757575757576
