Number of Learning Problems, Avg. Matched Rate, Avg. Coverage Rate
1, 0.0, 0.7575757575757576
2, 0.24, 0.7575757575757576
3, 0.08, 0.7575757575757576
4, 0.12, 0.7575757575757576
5, 0.12, 0.7575757575757576
6, 0.16, 0.7575757575757576
7, 0.2, 0.7575757575757576
8, 0.56, 0.7575757575757576
9, 0.48, 0.7575757575757576
10, 0.48, 0.7575757575757576
11, 0.48, 0.7575757575757576
12, 0.48, 0.7575757575757576
13, 0.48, 0.7575757575757576
14, 0.48, 0.7575757575757576
15, 0.48, 0.7575757575757576
16, 0.48, 0.7575757575757576
17, 0.36, 0.7575757575757576
18, 0.4, 0.7575757575757576
19, 0.4, 0.7575757575757576
20, 0.6, 0.7575757575757576
21, 0.6, 0.7575757575757576
22, 0.6, 0.7575757575757576
23, 0.6, 0.7575757575757576
24, 0.6, 0.7575757575757576
25, 0.6, 0.7575757575757576
26, 0.64, 0.7575757575757576
27, 0.64, 0.7575757575757576
28, 0.64, 0.7575757575757576
29, 0.64, 0.7575757575757576
30, 0.64, 0.7575757575757576
31, 0.64, 0.7575757575757576
32, 0.64, 0.7575757575757576
33, 0.64, 0.7575757575757576
34, 0.64, 0.7575757575757576
35, 0.64, 0.7575757575757576
36, 0.64, 0.7575757575757576
37, 0.64, 0.7575757575757576
38, 0.64, 0.7575757575757576
39, 0.56, 0.7575757575757576
40, 0.64, 0.7575757575757576
41, 0.64, 0.7575757575757576
42, 0.64, 0.7575757575757576
43, 0.64, 0.7575757575757576
44, 0.64, 0.7575757575757576
45, 0.64, 0.7575757575757576
46, 0.64, 0.7575757575757576
47, 0.64, 0.7575757575757576
48, 0.64, 0.7575757575757576
49, 0.64, 0.7575757575757576
50, 0.64, 0.7575757575757576
51, 0.72, 0.7575757575757576
52, 0.72, 0.7575757575757576
53, 0.72, 0.7575757575757576
54, 0.72, 0.7575757575757576
55, 0.72, 0.7575757575757576
56, 0.72, 0.7575757575757576
57, 0.68, 0.7575757575757576
58, 0.68, 0.7575757575757576
59, 0.68, 0.7575757575757576
60, 0.68, 0.7575757575757576
61, 0.68, 0.7575757575757576
62, 0.68, 0.7575757575757576
63, 0.68, 0.7575757575757576
64, 0.68, 0.7575757575757576
65, 0.68, 0.7575757575757576
66, 0.68, 0.7575757575757576
67, 0.68, 0.7575757575757576
68, 0.68, 0.7575757575757576
69, 0.68, 0.7575757575757576
70, 0.68, 0.7575757575757576
71, 0.68, 0.7575757575757576
72, 0.68, 0.7575757575757576
73, 0.68, 0.7575757575757576
74, 0.68, 0.7575757575757576
75, 0.68, 0.7575757575757576
76, 0.68, 0.7575757575757576
77, 0.72, 0.7575757575757576
78, 0.72, 0.7575757575757576
79, 0.72, 0.7575757575757576
80, 0.72, 0.7575757575757576
81, 0.72, 0.7575757575757576
82, 0.72, 0.7575757575757576
83, 0.72, 0.7575757575757576
84, 0.72, 0.7575757575757576
85, 0.72, 0.7575757575757576
86, 0.72, 0.7575757575757576
87, 0.72, 0.7575757575757576
88, 0.72, 0.7575757575757576
89, 0.72, 0.7575757575757576
90, 0.72, 0.7575757575757576
91, 0.72, 0.7575757575757576
92, 0.72, 0.7575757575757576
93, 0.72, 0.7575757575757576
94, 0.72, 0.7575757575757576
95, 0.72, 0.7575757575757576
96, 0.72, 0.7575757575757576
97, 0.72, 0.7575757575757576
98, 0.72, 0.7575757575757576
99, 0.72, 0.7575757575757576
100, 0.72, 0.7575757575757576
120, 0.8, 0.7575757575757576
140, 0.8, 0.7575757575757576
160, 0.8, 0.7575757575757576
180, 0.84, 0.7575757575757576
200, 0.84, 0.7575757575757576
220, 0.94, 0.7575757575757576
240, 0.94, 0.7575757575757576
260, 0.94, 0.7575757575757576
280, 0.94, 0.7575757575757576
300, 0.94, 0.7575757575757576
320, 0.98, 0.7575757575757576
340, 0.98, 0.7575757575757576
360, 0.98, 0.7575757575757576
380, 0.98, 0.7575757575757576
400, 0.98, 0.7575757575757576
420, 0.98, 0.7575757575757576
440, 0.98, 0.7575757575757576
460, 0.7, 0.7575757575757576
480, 0.94, 0.7575757575757576
