Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
1, 100, 0.011980000000000008, 0.0, 0.0, 0.0, 0.0
2, 104, 0.06519630769230755, 0.0, 0.0, 0.0, 180.0
3, 104, 0.1406702523076922, 0.0, 0.0, 0.0, 340.0
4, 108, 0.17699088853333333, 0.0, 0.0, 0.0, 439.0
5, 108, 0.2016766485333333, 0.0, 0.0, 0.0, 439.0
6, 108, 0.22079693653333332, 0.0, 0.0, 0.0, 599.0
7, 108, 0.2306355712, 0.0, 0.0, 0.0, 739.0
8, 108, 0.2565441792, 0.0, 0.0, 0.0, 1439.0
9, 108, 0.2583775125333333, 0.0, 0.0, 0.0, 1439.0
10, 108, 0.25931617919999994, 0.0, 0.0, 0.0, 1439.0
11, 108, 0.2597006570666667, 0.0, 0.0, 0.0, 1439.0
12, 108, 0.2604515904, 0.0, 0.0, 0.0, 1439.0
13, 108, 0.26228492373333334, 0.0, 0.0, 0.0, 1439.0
14, 108, 0.2637515904, 0.0, 0.0, 0.0, 1439.0
15, 108, 0.2652182570666667, 0.0, 0.0, 0.0, 1439.0
16, 108, 0.2659691904, 0.0, 0.0, 0.0, 1439.0
17, 108, 0.2922894084266666, 0.0, 0.0, 0.0, 1439.0
18, 108, 0.31335748138666636, 0.0, 0.0, 0.0, 1939.0
19, 108, 0.32274813175466627, 0.0, 0.0, 0.0, 2199.0
20, 108, 0.33186493175466625, 0.0, 0.0, 0.0, 2287.0
21, 108, 0.3333315984213329, 0.0, 0.0, 0.0, 2287.0
22, 108, 0.3351649317546663, 0.0, 0.0, 0.0, 2387.0
23, 108, 0.3363382650879996, 0.0, 0.0, 0.0, 2387.0
24, 108, 0.33817159842133293, 0.0, 0.0, 0.0, 2387.0
25, 108, 0.3400049317546663, 0.0, 0.0, 0.0, 2464.0
26, 108, 0.3418382650879996, 0.0, 0.0, 0.0, 2464.0
27, 108, 0.34214584738133297, 0.0, 0.0, 0.0, 2464.0
28, 108, 0.3436125140479996, 0.0, 0.0, 0.0, 2464.0
29, 108, 0.34421326071466624, 0.0, 0.0, 0.0, 2464.0
30, 108, 0.3460465940479996, 0.0, 0.0, 0.0, 2464.0
31, 108, 0.34787992738133294, 0.0, 0.0, 0.0, 2541.0
32, 108, 0.3481875096746663, 0.0, 0.0, 0.0, 2541.0
33, 108, 0.34857198754133295, 0.0, 0.0, 0.0, 2541.0
34, 108, 0.3491727342079996, 0.0, 0.0, 0.0, 2541.0
35, 108, 0.3494188000426663, 0.0, 0.0, 0.0, 2541.0
36, 108, 0.35001954670933294, 0.0, 0.0, 0.0, 2541.0
37, 108, 0.35032712900266627, 0.0, 0.0, 0.0, 2541.0
38, 108, 0.36902393872848166, 0.0, 0.0, 0.0, 2541.0
39, 108, 0.3803869815623348, 0.0, 0.0, 0.0, 2761.0
40, 108, 0.3904769207623348, 0.0, 0.0, 0.0, 2827.0
41, 108, 0.4001911963634015, 0.0, 0.0, 0.0, 2893.0
42, 108, 0.40079194303006815, 0.0, 0.0, 0.0, 2893.0
43, 108, 0.4013926896967348, 0.0, 0.0, 0.0, 2893.0
44, 108, 0.4025660230300681, 0.0, 0.0, 0.0, 2893.0
45, 108, 0.40287360532340144, 0.0, 0.0, 0.0, 2893.0
46, 108, 0.4033542026567348, 0.0, 0.0, 0.0, 2893.0
47, 108, 0.4039549493234014, 0.0, 0.0, 0.0, 2893.0
48, 108, 0.4048936159900681, 0.0, 0.0, 0.0, 2893.0
49, 108, 0.4052780938567348, 0.0, 0.0, 0.0, 2893.0
50, 108, 0.40711142719006815, 0.0, 0.0, 0.0, 2893.0
51, 108, 0.40894476052340145, 0.0, 0.0, 0.0, 2992.0
52, 108, 0.4091416131911348, 0.0, 0.0, 0.0, 2992.0
53, 108, 0.40933846585886813, 0.0, 0.0, 0.0, 2992.0
54, 108, 0.40981906319220146, 0.0, 0.0, 0.0, 2992.0
55, 108, 0.41128572985886813, 0.0, 0.0, 0.0, 2992.0
