Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
1, 140, 0.011414285714285722, 0.0, 0.0, 0.0, 0.0
2, 144, 0.2331631599999997, 0.0, 0.0, 0.0, 180.0
3, 144, 0.32967235801599964, 0.0, 0.0, 0.0, 340.0
4, 144, 0.3655759311355682, 0.0, 0.0, 0.0, 520.0
5, 185, 0.34497006698700394, -0.32972972972972975, 0.04864864864864865, 0.0, 619.0
6, 186, 0.3448650764113776, -0.3387096774193548, 0.053763440860215055, 0.0, 619.0
7, 187, 0.3469812256472638, -0.3422459893048128, 0.058823529411764705, 0.0, 619.0
8, 188, 0.349055470937885, -0.34574468085106386, 0.06382978723404255, 0.0, 619.0
9, 188, 0.35005919371016225, -0.34574468085106386, 0.06382978723404255, 0.0, 779.0
10, 190, 0.3476871435757489, -0.35789473684210527, 0.06315789473684211, 0.0, 779.0
11, 190, 0.3475565076755397, -0.35789473684210527, 0.06315789473684211, 0.0, 779.0
12, 191, 0.3469076095427675, -0.36649214659685864, 0.06806282722513089, 0.0, 779.0
13, 191, 0.3469553198899519, -0.36649214659685864, 0.06806282722513089, 0.0, 779.0
14, 191, 0.34790382642947154, -0.36649214659685864, 0.07329842931937172, 0.0, 779.0
15, 192, 0.3477768947491908, -0.375, 0.078125, 0.0, 779.0
16, 194, 0.34558881083646265, -0.3865979381443299, 0.07731958762886598, 0.0, 919.0
17, 195, 0.3454858873707014, -0.39487179487179486, 0.08205128205128205, 0.0, 919.0
18, 197, 0.3432209329803172, -0.4010152284263959, 0.08121827411167512, 0.0, 919.0
19, 197, 0.3430605175930825, -0.4010152284263959, 0.08121827411167512, 0.0, 919.0
20, 199, 0.34101225596378804, -0.4120603015075377, 0.08040201005025126, 0.0, 919.0
21, 200, 0.3398521445459354, -0.415, 0.085, 0.0, 919.0
22, 201, 0.3418037468473234, -0.417910447761194, 0.08955223880597014, 0.0, 739.0
23, 203, 0.3397171962504723, -0.43349753694581283, 0.08866995073891626, 0.0, 739.0
24, 205, 0.337735982124362, -0.45365853658536587, 0.08780487804878048, 0.0, 739.0
25, 207, 0.3357617366671307, -0.463768115942029, 0.08695652173913043, 0.0, 739.0
26, 207, 0.3357613511659827, -0.463768115942029, 0.08695652173913043, 0.0, 739.0
27, 209, 0.3338214437645393, -0.47368421052631576, 0.0861244019138756, 0.0, 739.0
28, 211, 0.3319764313182933, -0.4881516587677725, 0.08530805687203792, 0.0, 739.0
29, 212, 0.330962957546342, -0.49056603773584906, 0.08962264150943396, 0.0, 739.0
30, 213, 0.3299666612959492, -0.49295774647887325, 0.09389671361502347, 0.0, 739.0
31, 215, 0.32814065573884044, -0.5023255813953489, 0.09302325581395349, 0.0, 739.0
32, 217, 0.32634508360768344, -0.511520737327189, 0.09216589861751152, 0.0, 739.0
33, 217, 0.3289801159745621, -0.511520737327189, 0.0967741935483871, 0.0, 739.0
34, 218, 0.32803273797477056, -0.518348623853211, 0.10091743119266056, 0.0, 739.0
35, 220, 0.3262058205015448, -0.5227272727272727, 0.1, 0.0, 739.0
36, 220, 0.32980833614266136, -0.5227272727272727, 0.10454545454545454, 0.0, 739.0
37, 222, 0.32962586945352007, -0.536036036036036, 0.1036036036036036, 0.0, 739.0
38, 224, 0.3279605847753175, -0.5491071428571429, 0.10267857142857142, 0.0, 739.0
39, 224, 0.3281092408599735, -0.5491071428571429, 0.10267857142857142, 0.0, 739.0
40, 226, 0.32641288463272966, -0.5530973451327433, 0.10176991150442478, 0.0, 739.0
41, 226, 0.32738128358286095, -0.5530973451327433, 0.10176991150442478, 0.0, 739.0
42, 226, 0.3278413528741996, -0.5530973451327433, 0.10176991150442478, 0.0, 739.0
43, 227, 0.3269472798048699, -0.5550660792951542, 0.10572687224669604, 0.0, 827.0
44, 227, 0.32706434647153654, -0.5550660792951542, 0.10572687224669604, 0.0, 827.0
45, 227, 0.3273910848048699, -0.5550660792951542, 0.10572687224669604, 0.0, 827.0
46, 229, 0.3272330143800259, -0.5633187772925764, 0.10480349344978165, 0.0, 827.0
47, 229, 0.32751100259708027, -0.5633187772925764, 0.10480349344978165, 0.0, 827.0
48, 229, 0.3277333931707236, -0.5633187772925764, 0.10480349344978165, 0.0, 915.0
49, 230, 0.3277860286078719, -0.5652173913043478, 0.10869565217391304, 0.0, 915.0
50, 232, 0.32762735663376596, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
51, 232, 0.32759640293976905, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
52, 232, 0.32749060225689064, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
53, 232, 0.32777762515765413, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
54, 232, 0.3287164546741936, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
55, 232, 0.32863181412789083, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
56, 232, 0.3292261406011733, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
57, 232, 0.3301649701177128, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
58, 232, 0.3304519930184762, -0.5732758620689655, 0.10775862068965517, 0.0, 915.0
59, 233, 0.3320434593765477, -0.5879828326180258, 0.11158798283261803, 0.0, 915.0
60, 234, 0.33361099390968585, -0.5897435897435898, 0.11538461538461539, 0.0, 915.0
61, 235, 0.3332162849999121, -0.5914893617021276, 0.11914893617021277, 0.0, 915.0
62, 236, 0.33282742362954243, -0.5932203389830508, 0.1228813559322034, 0.0, 915.0
63, 236, 0.333105942148061, -0.5932203389830508, 0.1228813559322034, 0.0, 915.0
64, 236, 0.3333287569628757, -0.5932203389830508, 0.1228813559322034, 0.0, 915.0
65, 237, 0.33390816786756045, -0.5991561181434599, 0.12658227848101267, 0.0, 915.0
66, 237, 0.3330988123121346, -0.5991561181434599, 0.12658227848101267, 0.0, 915.0
67, 237, 0.33302043077200905, -0.5991561181434599, 0.12658227848101267, 0.0, 915.0
68, 237, 0.3331596100661267, -0.5991561181434599, 0.12658227848101267, 0.0, 915.0
69, 237, 0.3334597983014209, -0.5991561181434599, 0.12658227848101267, 0.0, 915.0
70, 238, 0.3342783399196587, -0.6008403361344538, 0.13025210084033614, 0.0, 915.0
71, 240, 0.3326954533985018, -0.6125, 0.12916666666666668, 0.0, 1055.0
72, 240, 0.33339777223908157, -0.6125, 0.12916666666666668, 0.0, 1055.0
73, 240, 0.33380897996855013, -0.6125, 0.12916666666666668, 0.0, 1055.0
74, 240, 0.33391870973086896, -0.6125, 0.12916666666666668, 0.0, 1055.0
75, 240, 0.33666855498460374, -0.6125, 0.13333333333333333, 0.0, 1055.0
76, 240, 0.33755335114767326, -0.6125, 0.13333333333333333, 0.0, 1055.0
77, 240, 0.3384381473107429, -0.6125, 0.13333333333333333, 0.0, 1055.0
78, 240, 0.33876474683112656, -0.6125, 0.13333333333333333, 0.0, 1055.0
79, 240, 0.3393195669750115, -0.6125, 0.13333333333333333, 0.0, 1055.0
80, 240, 0.33956027204935196, -0.6125, 0.13333333333333333, 0.0, 1055.0
81, 240, 0.3393276986775709, -0.6125, 0.1375, 0.0, 1055.0
82, 241, 0.33843459443163065, -0.6141078838174274, 0.14107883817427386, 0.0, 1055.0
83, 243, 0.33686702686521075, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
84, 243, 0.33773313015159573, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
85, 243, 0.33827915832060984, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
86, 243, 0.3382789107311402, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
87, 243, 0.3386735022804359, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
88, 243, 0.3386486909407406, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
89, 243, 0.3385862238333285, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
90, 243, 0.33858602576175273, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
91, 243, 0.3382924697318792, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
92, 243, 0.3382923112746186, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
93, 243, 0.3385798154999708, -0.6255144032921811, 0.13991769547325103, 0.0, 1055.0
94, 245, 0.33704988672025066, -0.6448979591836734, 0.13877551020408163, 0.0, 1055.0
95, 245, 0.33718225304192895, -0.6448979591836734, 0.13877551020408163, 0.0, 1055.0
96, 245, 0.3374566258399198, -0.6448979591836734, 0.13877551020408163, 0.0, 1055.0
97, 245, 0.33724512149380925, -0.6448979591836734, 0.14285714285714285, 0.0, 1055.0
98, 245, 0.337559936747875, -0.6448979591836734, 0.1510204081632653, 0.0, 1175.0
99, 245, 0.33798772157546114, -0.6448979591836734, 0.1510204081632653, 0.0, 1175.0
100, 245, 0.33823818962143815, -0.6448979591836734, 0.1510204081632653, 0.0, 1175.0
200, 476, 0.3329735883554684, -1.3067226890756303, 0.29411764705882354, 0.0, 8059.0
300, 685, 0.26504307262675375, -1.7080291970802919, 0.2905109489051095, 0.0, 9199.0
400, 1015, 0.1875954586205918, -2.1369458128078818, 0.27586206896551724, 0.0, 13895.0
500, 1389, 0.14142746762932704, -2.476601871850252, 0.2634989200863931, 0.0, 17175.0
600, 1814, 0.11089964133167601, -2.7425578831312016, 0.24972436604189635, 0.0, 18728.0
700, 2331, 0.08785179690655136, -2.956241956241956, 0.24453024453024452, 0.0, 18096.0
800, 2638, 0.07981423578345401, -3.0640636846095526, 0.23730098559514784, 0.0, 18628.0
900, 3153, 0.06301244514977662, -3.227719632096416, 0.22930542340627974, 0.0, 18121.0
1000, 3589, 0.05616305198866294, -3.3663973251602117, 0.22931178601281693, 0.0, 18437.0
1100, 4000, 0.050989127127758785, -3.4575, 0.2255, 0.0, 19092.0
1200, 4354, 0.04555933231027991, -3.558796508957281, 0.21359669269637116, 0.0, 19264.0
1300, 4450, 0.0418029015378289, -3.6435955056179776, 0.20292134831460673, 0.0, 19311.0
1400, 4528, 0.03897170998754901, -3.730565371024735, 0.19500883392226148, 0.0, 19447.0
1500, 4561, 0.03902269959128352, -3.8020171015128263, 0.1896513922385442, 0.0, 19413.0
1600, 4608, 0.03743046771352581, -3.8799913194444446, 0.1877170138888889, 0.0, 18116.0
1700, 4638, 0.03661624770358142, -3.9172056921086673, 0.18132815868909014, 0.0, 19255.0
1800, 4708, 0.035932064193247126, -4.009558198810535, 0.1748088360237893, 0.0, 19095.0
1900, 4730, 0.03574675509611444, -4.060676532769556, 0.1704016913319239, 0.0, 18267.0
2000, 4766, 0.035492369315891656, -4.140579101972304, 0.16596726814939153, 0.0, 17845.0
2100, 4779, 0.03544977912745372, -4.19418288344842, 0.16426030550324336, 0.0, 17736.0
2200, 4793, 0.03508071426352005, -4.2228249530565405, 0.16398915084498228, 0.0, 17510.0
2300, 4832, 0.03510313864718823, -4.292218543046357, 0.15956125827814568, 0.0, 18198.0
2400, 4847, 0.03506695424053539, -4.351763977718176, 0.15679801939343924, 0.0, 18803.0
2500, 4865, 0.03462663781356965, -4.409249743062693, 0.15334018499486127, 0.0, 18729.0
2600, 4904, 0.034200358150688205, -4.484910277324633, 0.14702283849918435, 0.0, 18789.0
2700, 4918, 0.03402545114995377, -4.544936966246442, 0.1453843025620171, 0.0, 19287.0
2800, 4933, 0.033728576306942294, -4.583620514899655, 0.14210419622947495, 0.0, 19009.0
2900, 4984, 0.030730664560003652, -4.717295345104334, 0.14004815409309793, 0.0, 18910.0
3000, 4992, 0.031219850577289862, -4.782451923076923, 0.14122596153846154, 0.0, 18784.0
