Number of Learning Problems, Avg. Matched Rate, Avg. Coverage Rate
100, 0.8571428571428572, 0.7608695652173914
200, 0.9428571428571428, 0.7608695652173914
300, 0.9571428571428571, 0.7608695652173914
400, 1.0, 0.7608695652173914
500, 1.0, 0.7608695652173914
600, 0.9714285714285714, 0.7608695652173914
700, 1.0, 0.7608695652173914
800, 1.0, 0.7608695652173914
900, 1.0, 0.7608695652173914
1000, 1.0, 0.7608695652173914
1100, 1.0, 0.7608695652173914
1200, 1.0, 0.7608695652173914
1300, 1.0, 0.7608695652173914
1400, 0.9714285714285714, 0.7608695652173914
1500, 0.7428571428571429, 0.7608695652173914
1600, 1.0, 0.7608695652173914
1700, 1.0, 0.7608695652173914
1800, 1.0, 0.7608695652173914
1900, 1.0, 0.7608695652173914
2000, 1.0, 0.7608695652173914
2100, 1.0, 0.7608695652173914
2200, 0.8, 0.7608695652173914
2300, 0.7857142857142857, 0.7608695652173914
2400, 1.0, 0.7608695652173914
2500, 1.0, 0.7608695652173914
2600, 0.9714285714285714, 0.7608695652173914
2700, 0.9714285714285714, 0.7608695652173914
2800, 1.0, 0.7608695652173914
2900, 1.0, 0.7608695652173914
3000, 1.0, 0.7608695652173914
