Weight,Number of Learning Problems, Open State, Final State, Steps, Path
10-90,100, (1-1), (1-7), 6, ->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,100, (2-1), (1-7), 7, ->(1-1)->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,100, (3-1), (1-7), 8, ->(2-1)->(1-1)->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,100, (4-1), (1-7), 9, ->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,100, (5-1), (5-1), -1, ->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->(5-1)->
10-90,100, (1-2), (1-7), 5, ->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,100, (2-2), (1-7), 6, ->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,100, (4-2), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,100, (7-2), (7-1), 1, ->
10-90,100, (1-3), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
10-90,100, (3-3), (1-7), 6, ->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,100, (4-3), (1-7), 7, ->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,100, (5-3), (7-1), 4, ->(6-3)->(7-3)->(7-2)->
10-90,100, (6-3), (7-1), 3, ->(7-3)->(7-2)->
10-90,100, (7-3), (7-1), 2, ->(7-2)->
10-90,100, (1-4), (1-7), 3, ->(1-5)->(1-6)->
10-90,100, (2-4), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
10-90,100, (3-4), (1-7), 5, ->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,100, (6-4), (1-7), 8, ->(6-5)->(5-5)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,100, (7-4), (7-1), 3, ->(7-3)->(7-2)->
10-90,100, (1-5), (1-7), 2, ->(1-6)->
10-90,100, (3-5), (1-7), 4, ->(3-6)->(3-7)->(2-7)->
10-90,100, (5-5), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,100, (6-5), (1-7), 7, ->(5-5)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,100, (1-6), (1-7), 1, ->
10-90,100, (3-6), (1-7), 3, ->(3-7)->(2-7)->
10-90,100, (4-6), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,100, (5-6), (1-7), 5, ->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,100, (6-6), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,100, (7-6), (1-7), 7, ->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,100, (2-7), (1-7), 1, ->
10-90,100, (3-7), (1-7), 2, ->(2-7)->
10-90,100, (4-7), (1-7), 3, ->(3-7)->(2-7)->
10-90,100, (5-7), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,100, (7-7), (7-7), -1, ->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->(7-7)->
10-90,200, (1-1), (1-7), 6, ->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,200, (2-1), (1-7), 7, ->(2-2)->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,200, (3-1), (3-1), -1, ->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->(3-1)->
10-90,200, (4-1), (1-7), 9, ->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,200, (5-1), (1-7), 10, ->(4-1)->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,200, (1-2), (1-7), 5, ->(1-3)->(1-4)->(1-5)->(1-6)->
10-90,200, (2-2), (1-7), 6, ->(1-2)->(1-3)->(1-4)->(1-5)->(1-6)->
