Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
100, 448, 0.3678394131920121, -1.28125, 0.28794642857142855, 0.0, 9039.0
200, 653, 0.29505619434568525, -1.7182235834609494, 0.30474732006125577, 0.0, 11395.0
300, 912, 0.2198932366386066, -2.1085526315789473, 0.2741228070175439, 0.0, 11358.0
400, 1159, 0.17735359018692728, -2.381363244176014, 0.271786022433132, 0.0, 11848.0
500, 1420, 0.14753888743761864, -2.5443661971830984, 0.25985915492957745, 0.0, 12297.0
600, 1645, 0.130443962378975, -2.676595744680851, 0.2559270516717325, 0.0, 12463.0
700, 1890, 0.11630496662968756, -2.791005291005291, 0.2455026455026455, 0.0, 12321.0
800, 2133, 0.10265133329140748, -2.917018284106892, 0.24425691514299108, 0.0, 12877.0
900, 2456, 0.08841758266666563, -3.0394951140065145, 0.23167752442996742, 0.0, 12753.0
1000, 2718, 0.0816395354842883, -3.1096394407652688, 0.22663723325974983, 0.0, 12961.0
1100, 3005, 0.07472859376332341, -3.2039933444259567, 0.2226289517470882, 0.0, 12836.0
1200, 3231, 0.06980520584000134, -3.266480965645311, 0.2157226864747756, 0.0, 12654.0
1300, 3476, 0.06489272289163406, -3.3377445339470655, 0.21317606444188722, 0.0, 13375.0
1400, 3746, 0.06003055228080991, -3.4006940736785904, 0.21436198611852642, 0.0, 13027.0
1500, 4017, 0.056447144400372615, -3.4597958675628577, 0.2111028130445606, 0.0, 13167.0
1600, 4268, 0.05241320368607646, -3.50796626054358, 0.21227741330834116, 0.0, 13472.0
1700, 4323, 0.05002320045212441, -3.5607217210270647, 0.20471894517696043, 0.0, 13398.0
1800, 4361, 0.04908377964890688, -3.6014675533134604, 0.20018344416418252, 0.0, 12937.0
1900, 4381, 0.047978112676045896, -3.633188769687286, 0.19995434832230086, 0.0, 12693.0
2000, 4429, 0.04655508184862057, -3.6626778053736735, 0.19259426507112215, 0.0, 12794.0
2100, 4457, 0.04524827106222395, -3.679380749382993, 0.1902625084137312, 0.0, 12669.0
2200, 4469, 0.044399747840539294, -3.705750727232043, 0.18818527634817633, 0.0, 12926.0
2300, 4492, 0.04374995288141516, -3.7281834372217277, 0.1858860195903829, 0.0, 12735.0
2400, 4500, 0.04340054767311808, -3.761111111111111, 0.18822222222222224, 0.0, 12213.0
2500, 4536, 0.0425556570301283, -3.798500881834215, 0.18452380952380953, 0.0, 12446.0
2600, 4562, 0.04123267689857285, -3.8307759754493644, 0.1834721613327488, 0.0, 12102.0
2700, 4584, 0.0396813337759281, -3.860602094240838, 0.1817190226876091, 0.0, 11792.0
2800, 4612, 0.039539893531244694, -3.9019947961838684, 0.17649609713790113, 0.0, 11954.0
2900, 4634, 0.03883409910524399, -3.9281398359948207, 0.17328441950798446, 0.0, 12388.0
3000, 4661, 0.03796553048219189, -3.940570692984338, 0.16906243295430165, 0.0, 12361.0
