Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
100, 448, 0.3678394131920121, 0.0, 0.0, 0.0, 9039.0
200, 653, 0.29505619434568525, 0.0, 0.0, 0.0, 11395.0
300, 912, 0.2198932366386066, 0.0, 0.0, 0.0, 11358.0
400, 1159, 0.17735359018692728, 0.0, 0.0, 0.0, 11848.0
500, 1420, 0.14753888743761864, 0.0, 0.0, 0.0, 12297.0
600, 1645, 0.130443962378975, 0.0, 0.0, 0.0, 12463.0
700, 1890, 0.11630496662968756, 0.0, 0.0, 0.0, 12321.0
800, 2133, 0.10265133329140748, 0.0, 0.0, 0.0, 12877.0
900, 2456, 0.08841758266666563, 0.0, 0.0, 0.0, 12753.0
1000, 2718, 0.0816395354842883, 0.0, 0.0, 0.0, 12961.0
1100, 3005, 0.07472859376332341, 0.0, 0.0, 0.0, 12836.0
1200, 3231, 0.06980520584000134, 0.0, 0.0, 0.0, 12654.0
1300, 3476, 0.06489272289163406, 0.0, 0.0, 0.0, 13375.0
1400, 3746, 0.06003055228080991, 0.0, 0.0, 0.0, 13027.0
1500, 4017, 0.056447144400372615, 0.0, 0.0, 0.0, 13167.0
1600, 4268, 0.05241320368607646, 0.0, 0.0, 0.0, 13472.0
1700, 4323, 0.05002320045212441, 0.0, 0.0, 0.0, 13398.0
1800, 4361, 0.04908377964890688, 0.0, 0.0, 0.0, 12937.0
1900, 4381, 0.047978112676045896, 0.0, 0.0, 0.0, 12693.0
2000, 4429, 0.04655508184862057, 0.0, 0.0, 0.0, 12794.0
2100, 4457, 0.04524827106222395, 0.0, 0.0, 0.0, 12669.0
2200, 4469, 0.044399747840539294, 0.0, 0.0, 0.0, 12926.0
2300, 4492, 0.04374995288141516, 0.0, 0.0, 0.0, 12735.0
2400, 4500, 0.04340054767311808, 0.0, 0.0, 0.0, 12213.0
2500, 4536, 0.0425556570301283, 0.0, 0.0, 0.0, 12446.0
2600, 4562, 0.04123267689857285, 0.0, 0.0, 0.0, 12102.0
2700, 4584, 0.0396813337759281, 0.0, 0.0, 0.0, 11792.0
2800, 4612, 0.039539893531244694, 0.0, 0.0, 0.0, 11954.0
2900, 4634, 0.03883409910524399, 0.0, 0.0, 0.0, 12388.0
3000, 4661, 0.03796553048219189, 0.0, 0.0, 0.0, 12361.0
