Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
100, 406, 0.3945697712812677, -1.1379310344827587, 0.28078817733990147, 0.0, 8051.0
200, 680, 0.2713935204999484, -1.7176470588235293, 0.27794117647058825, 0.0, 9677.0
300, 954, 0.20413577307699388, -2.10062893081761, 0.2830188679245283, 0.0, 10985.0
400, 1237, 0.1639151602235072, -2.387227162489895, 0.27243330638641877, 0.0, 11926.0
500, 1493, 0.13727595340911997, -2.563965170797053, 0.26188881446751505, 0.0, 12600.0
600, 1758, 0.11687326080943129, -2.703640500568828, 0.2582480091012514, 0.0, 12404.0
700, 1985, 0.1054933074960261, -2.8035264483627205, 0.24937027707808565, 0.0, 12657.0
800, 2247, 0.0923598876186138, -2.923008455718736, 0.24343569203382287, 0.0, 12810.0
900, 2499, 0.08346939686118401, -3.0476190476190474, 0.23769507803121248, 0.0, 12554.0
1000, 2731, 0.07618569317294804, -3.129989015012816, 0.23544489198095936, 0.0, 12990.0
1100, 2999, 0.06874490194533708, -3.190396798932978, 0.23607869289763253, 0.0, 13045.0
1200, 3252, 0.06406039693888822, -3.2739852398523985, 0.23370233702337023, 0.0, 13205.0
1300, 3505, 0.060121941112879065, -3.3340941512125535, 0.23223965763195434, 0.0, 12801.0
1400, 3798, 0.05519721147730112, -3.394681411269089, 0.2261716692996314, 0.0, 12601.0
1500, 4070, 0.05118644025763504, -3.4633906633906633, 0.22334152334152335, 0.0, 13061.0
1600, 4275, 0.04904102458857858, -3.506432748538012, 0.21730994152046784, 0.0, 13045.0
1700, 4316, 0.048763015736283735, -3.5444856348470806, 0.2129286376274328, 0.0, 13105.0
1800, 4347, 0.04779252415954954, -3.574419139636531, 0.21072003680699333, 0.0, 12978.0
1900, 4376, 0.04699381571376326, -3.5957495429616086, 0.20772394881170017, 0.0, 12914.0
2000, 4408, 0.04656890508151883, -3.6191016333938295, 0.1998638838475499, 0.0, 12914.0
2100, 4440, 0.04476448194115504, -3.6385135135135136, 0.19436936936936938, 0.0, 12974.0
2200, 4481, 0.04112013236342814, -3.6654764561481814, 0.18991296585583575, 0.0, 11943.0
2300, 4498, 0.04087968867753543, -3.732325477990218, 0.18875055580257893, 0.0, 12714.0
2400, 4512, 0.04089537615232448, -3.784131205673759, 0.18905141843971632, 0.0, 13449.0
2500, 4524, 0.04035995241122991, -3.814765694076039, 0.1896551724137931, 0.0, 13529.0
2600, 4568, 0.04010167844659841, -3.8504816112084064, 0.1845446584938704, 0.0, 13631.0
2700, 4607, 0.038758153616326674, -3.878445843281962, 0.17755589320599088, 0.0, 13571.0
2800, 4620, 0.03900125567634383, -3.9300865800865803, 0.17922077922077922, 0.0, 13655.0
2900, 4641, 0.03888397836910645, -3.9875026933850464, 0.17754794225382461, 0.0, 13602.0
3000, 4645, 0.03892378808862144, -4.019375672766415, 0.17890204520990313, 0.0, 13542.0
