Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
100, 406, 0.3945697712812677, 0.0, 0.0, 0.0, 8051.0
200, 680, 0.2713935204999484, 0.0, 0.0, 0.0, 9677.0
300, 954, 0.20413577307699388, 0.0, 0.0, 0.0, 10985.0
400, 1237, 0.1639151602235072, 0.0, 0.0, 0.0, 11926.0
500, 1493, 0.13727595340911997, 0.0, 0.0, 0.0, 12600.0
600, 1758, 0.11687326080943129, 0.0, 0.0, 0.0, 12404.0
700, 1985, 0.1054933074960261, 0.0, 0.0, 0.0, 12657.0
800, 2247, 0.0923598876186138, 0.0, 0.0, 0.0, 12810.0
900, 2499, 0.08346939686118401, 0.0, 0.0, 0.0, 12554.0
1000, 2731, 0.07618569317294804, 0.0, 0.0, 0.0, 12990.0
1100, 2999, 0.06874490194533708, 0.0, 0.0, 0.0, 13045.0
1200, 3252, 0.06406039693888822, 0.0, 0.0, 0.0, 13205.0
1300, 3505, 0.060121941112879065, 0.0, 0.0, 0.0, 12801.0
1400, 3798, 0.05519721147730112, 0.0, 0.0, 0.0, 12601.0
1500, 4070, 0.05118644025763504, 0.0, 0.0, 0.0, 13061.0
1600, 4275, 0.04904102458857858, 0.0, 0.0, 0.0, 13045.0
1700, 4316, 0.048763015736283735, 0.0, 0.0, 0.0, 13105.0
1800, 4347, 0.04779252415954954, 0.0, 0.0, 0.0, 12978.0
1900, 4376, 0.04699381571376326, 0.0, 0.0, 0.0, 12914.0
2000, 4408, 0.04656890508151883, 0.0, 0.0, 0.0, 12914.0
2100, 4440, 0.04476448194115504, 0.0, 0.0, 0.0, 12974.0
2200, 4481, 0.04112013236342814, 0.0, 0.0, 0.0, 11943.0
2300, 4498, 0.04087968867753543, 0.0, 0.0, 0.0, 12714.0
2400, 4512, 0.04089537615232448, 0.0, 0.0, 0.0, 13449.0
2500, 4524, 0.04035995241122991, 0.0, 0.0, 0.0, 13529.0
2600, 4568, 0.04010167844659841, 0.0, 0.0, 0.0, 13631.0
2700, 4607, 0.038758153616326674, 0.0, 0.0, 0.0, 13571.0
2800, 4620, 0.03900125567634383, 0.0, 0.0, 0.0, 13655.0
2900, 4641, 0.03888397836910645, 0.0, 0.0, 0.0, 13602.0
3000, 4645, 0.03892378808862144, 0.0, 0.0, 0.0, 13542.0
